locus,symbols,datasets,datasetIDs,essentiality status,essentiality consensus
ENSG00000079277,MKNK1,7,"456,457,455,453,454,348,452","NE,NE,NE,NE,NE,E,NE",Conditional
ENSG00000079308,TNS1,7,"457,452,454,455,348,456,453","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000079313,REXO1,8,"454,453,452,456,459,457,455,348","NE,NE,NE,NE,E,NE,NE,NE",Conditional
ENSG00000079332,SAR1A,7,"348,457,453,452,456,455,454","E,NE,NE,NE,NE,NE,NE",Conditional
ENSG00000079335,CDC14A,7,"452,348,454,453,455,456,457","NE,E,NE,NE,NE,NE,NE",Conditional
ENSG00000079337,RAPGEF3,7,"453,454,457,452,348,456,455","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000079385,CEACAM1,7,"455,454,457,452,456,453,348","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000079387,SENP1,5,"348,455,454,452,456","NE,NE,NE,NE,NE",Nonessential
ENSG00000079393,DUSP13,7,"456,455,348,457,452,453,454","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000079432,CIC,7,"454,455,348,453,457,456,452","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000079435,LIPE,7,"455,456,452,454,457,348,453","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000079459,FDFT1,8,"453,455,454,452,348,457,456,459","NE,E,NE,NE,NE,E,NE,E",Conditional
ENSG00000079462,PAFAH1B3,6,"457,454,455,453,456,452","NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000079482,OPHN1,7,"452,453,454,457,455,456,348","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000079557,AFM,7,"348,453,454,452,456,457,455","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000079616,KIF22,8,"455,453,457,459,348,454,452,456","E,NE,NE,E,NE,NE,NE,NE",Conditional
ENSG00000079689,SCGN,7,"456,348,455,457,452,454,453","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000079691,LRRC16A,3,"453,348,457","NE,NE,NE",Nonessential
ENSG00000079739,PGM1,7,"457,453,454,455,348,456,452","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000079785,DDX1,6,"452,455,454,459,456,348","E,NE,E,E,E,NE",Conditional
ENSG00000079805,DNM2,8,"348,452,455,456,453,454,457,459","NE,E,E,E,E,E,E,E",Conditional
ENSG00000079819,EPB41L2,7,"453,348,456,455,457,454,452","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000079841,RIMS1,8,"451,452,348,456,457,453,454,455","E,NE,NE,NE,NE,NE,NE,NE",Conditional
ENSG00000079931,MOXD1,7,"455,456,348,452,453,454,457","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000079950,STX7,7,"457,456,455,452,348,454,453","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000079974,RABL2B,7,"453,455,457,454,452,456,348","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000079999,KEAP1,8,"348,459,457,455,454,456,452,453","NE,E,NE,NE,E,NE,NE,E",Conditional
ENSG00000080007,DDX43,8,"453,348,451,452,455,454,457,456","NE,NE,E,NE,NE,NE,NE,NE",Conditional
ENSG00000080031,PTPRH,8,"453,454,455,457,459,348,456,452","NE,E,NE,NE,E,E,NE,NE",Conditional
ENSG00000080166,DCT,7,"457,453,452,455,454,456,348","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000080189,SLC35C2,6,"456,457,452,454,455,453","NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000080200,CRYBG3,3,"457,348,453","NE,NE,NE",Nonessential
ENSG00000080224,EPHA6,7,"453,455,348,457,454,456,452","NE,NE,E,NE,NE,NE,NE",Conditional
ENSG00000080293,SCTR,7,"452,457,348,455,456,453,454","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000080298,RFX3,7,"453,348,457,452,456,454,455","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000080345,RIF1,8,"459,456,457,453,348,455,454,452","E,NE,E,E,NE,NE,E,NE",Conditional
ENSG00000080371,RAB21,7,"455,457,348,453,454,452,456","E,NE,NE,NE,NE,NE,NE",Conditional
ENSG00000080493,SLC4A4,8,"456,348,452,457,455,442,454,453","NE,NE,NE,NE,NE,E,NE,NE",Conditional
ENSG00000080503,SMARCA2,7,"453,454,457,456,452,348,455","NE,NE,NE,NE,NE,E,NE",Conditional
ENSG00000080511,RDH8,5,"455,452,454,456,348","NE,NE,E,NE,NE",Conditional
ENSG00000080546,SESN1,7,"453,455,452,457,456,454,348","NE,NE,NE,NE,NE,NE,E",Conditional
ENSG00000080561,MID2,7,"348,452,453,455,454,457,456","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000080572,CXorf41,7,"456,455,348,452,453,457,454","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000080573,COL5A3,8,"454,451,456,457,348,455,452,453","NE,E,NE,NE,NE,NE,NE,NE",Conditional
ENSG00000080603,SRCAP,8,"453,455,456,348,457,452,459,454","E,E,E,NE,E,E,E,E",Conditional
ENSG00000080608,KIAA0020,3,"348,453,457","NE,NE,E",Conditional
ENSG00000080618,CPB2,7,"457,452,454,455,456,348,453","NE,NE,NE,NE,NE,E,NE",Conditional
ENSG00000080644,CHRNA3,7,"453,456,457,455,454,348,452","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000080709,KCNN2,7,"455,453,454,452,457,456,348","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000080802,CNOT4,8,"348,457,456,453,452,455,454,459","NE,NE,NE,E,NE,NE,NE,E",Conditional
ENSG00000080815,PSEN1,8,"457,348,451,452,455,453,454,456","NE,NE,E,NE,NE,NE,NE,NE",Conditional
ENSG00000080819,CPOX,9,"456,455,444,348,459,452,457,454,453","NE,NE,E,NE,E,NE,NE,NE,NE",Conditional
ENSG00000080822,CLDND1,7,"453,452,456,455,348,457,454","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000080823,RAGE,7,"455,452,453,456,457,454,348","NE,NE,NE,NE,NE,NE,E",Conditional
ENSG00000080824,HSP90AA1,8,"348,456,455,452,454,453,457,459","E,NE,NE,NE,NE,NE,NE,E",Conditional
ENSG00000080839,RBL1,7,"457,453,454,455,348,456,452","NE,NE,NE,NE,E,NE,NE",Conditional
ENSG00000080845,DLGAP4,7,"452,348,457,456,455,454,453","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000080854,IGSF9B,1,348,NE,Nonessential
ENSG00000080910,CFHR2,7,"453,455,454,452,456,348,457","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000080986,NDC80,8,"457,452,453,459,348,455,454,456","E,E,E,E,NE,E,E,E",Conditional
ENSG00000081014,AP4E1,8,"456,348,453,457,454,451,452,455","NE,NE,NE,NE,NE,E,NE,NE",Conditional
ENSG00000081019,RSBN1,8,"455,348,456,452,457,453,451,454","NE,NE,NE,NE,NE,NE,E,NE",Conditional
ENSG00000081026,MAGI3,7,"454,455,457,348,453,452,456","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000081041,CXCL2,7,"457,453,454,455,348,456,452","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000081051,AFP,8,"442,348,453,457,455,456,452,454","E,NE,NE,NE,NE,NE,NE,NE",Conditional
ENSG00000081052,COL4A4,7,"457,348,453,454,452,455,456","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000081059,TCF7,9,"453,459,457,452,448,348,456,455,454","NE,E,NE,NE,E,NE,NE,NE,NE",Conditional
ENSG00000081087,OSTM1,7,"454,455,453,348,457,456,452","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000081138,CDH7,7,"452,348,454,456,453,457,455","NE,E,NE,NE,NE,NE,NE",Conditional
ENSG00000081148,IMPG2,7,"455,456,348,452,454,457,453","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000081154,PCNP,7,"453,452,348,454,455,457,456","E,NE,NE,NE,NE,E,NE",Conditional
ENSG00000081177,EXD2,7,"457,348,453,456,455,452,454","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000081181,ARG2,8,"453,456,457,444,452,348,455,454","NE,NE,NE,E,NE,E,NE,NE",Conditional
ENSG00000081189,MEF2C,8,"454,453,455,456,348,452,457,459","NE,E,E,NE,NE,NE,NE,E",Conditional
ENSG00000081237,PTPRC,7,"457,455,454,453,452,456,348","NE,NE,NE,E,NE,NE,E",Conditional
ENSG00000081248,CACNA1S,7,"454,348,455,457,456,453,452","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000081277,PKP1,7,"452,455,348,457,454,453,456","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000081307,UBA5,8,"457,459,348,452,455,453,456,454","NE,E,NE,NE,NE,NE,NE,NE",Conditional
ENSG00000081320,STK17B,7,"454,455,348,456,457,452,453","NE,NE,E,NE,NE,NE,NE",Conditional
ENSG00000081377,CDC14B,7,"348,454,455,456,452,453,457","E,NE,NE,NE,NE,NE,NE",Conditional
ENSG00000081386,ZNF510,5,"456,348,455,454,452","NE,NE,NE,NE,NE",Nonessential
ENSG00000081479,LRP2,7,"348,456,457,454,455,452,453","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000081665,ZNF506,7,"455,453,348,456,452,457,454","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000081692,JMJD4,7,"348,453,457,454,455,456,452","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000081721,DUSP12,8,"452,459,348,454,457,453,456,455","NE,E,NE,NE,NE,NE,NE,NE",Conditional
ENSG00000081760,AACS,7,"455,457,452,348,454,456,453","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000081791,KIAA0141,7,"453,455,348,452,456,457,454","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000081800,SLC13A1,7,"455,454,453,452,457,348,456","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000081803,CADPS2,7,"456,454,457,455,453,348,452","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000081818,PCDHB4,3,"348,453,457","NE,NE,NE",Nonessential
ENSG00000081842,PCDHA6,3,"457,348,453","NE,NE,NE",Nonessential
ENSG00000081853,PCDHG@,3,"453,457,348","NE,NE,NE",Nonessential
ENSG00000081870,HSPB11,7,"453,455,456,457,454,452,348","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000081913,PHLPP1,7,"453,348,456,455,452,457,454","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000081923,ATP8B1,5,"456,454,348,455,452","NE,NE,NE,NE,NE",Nonessential
ENSG00000081985,IL12RB2,7,"452,455,454,457,456,453,348","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000082014,SMARCD3,7,"348,452,453,454,456,457,455","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000082068,WDR70,8,"455,452,348,457,454,459,453,456","E,E,NE,E,E,E,E,E",Conditional
ENSG00000082074,FYB,6,"456,457,455,452,453,454","NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000082126,MPP4,7,"455,456,348,454,452,453,457","NE,NE,E,NE,NE,NE,NE",Conditional
ENSG00000082146,STRADB,7,"457,454,456,453,455,348,452","NE,NE,NE,NE,NE,E,NE",Conditional
ENSG00000082153,BZW1,7,"452,455,456,454,457,348,453","NE,NE,NE,NE,NE,E,NE",Conditional
ENSG00000082175,PGR,7,"453,455,457,456,454,348,452","NE,NE,NE,NE,NE,E,NE",Conditional
ENSG00000082196,C1QTNF3,7,"452,453,454,455,348,457,456","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000082212,ME2,7,"454,453,456,457,455,452,348","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000082213,C5orf22,8,"348,459,457,452,456,453,455,454","NE,E,NE,NE,NE,NE,NE,NE",Conditional
ENSG00000082258,CCNT2,7,"454,456,452,457,455,453,348","NE,NE,NE,NE,NE,NE,E",Conditional
ENSG00000082269,FAM135A,7,"348,452,454,455,453,456,457","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000082293,COL19A1,7,"457,456,452,348,453,455,454","NE,NE,NE,E,NE,NE,NE",Conditional
ENSG00000082397,EPB41L3,7,"454,455,456,457,348,452,453","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000082438,COBLL1,8,"453,457,452,456,454,451,348,455","NE,NE,NE,NE,NE,E,NE,NE",Conditional
ENSG00000082458,DLG3,7,"455,456,453,457,348,454,452","NE,NE,NE,NE,E,NE,NE",Conditional
ENSG00000082482,KCNK2,7,"453,455,454,456,452,457,348","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000082497,SERTAD4,7,"456,457,348,455,454,453,452","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000082512,TRAF5,7,"452,348,457,455,454,453,456","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000082515,MRPL22,9,"457,459,452,453,456,348,449,454,455","E,E,NE,E,E,NE,E,NE,E",Conditional
ENSG00000082516,GEMIN5,10,"455,348,452,457,459,456,453,454,449,451","E,NE,E,E,E,E,E,E,E,E",Conditional
ENSG00000082556,OPRK1,7,"456,452,455,348,457,454,453","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000082641,NFE2L1,7,"453,452,348,456,455,454,457","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000082684,SEMA5B,7,"457,456,452,348,453,454,455","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000082701,GSK3B,7,"455,456,453,452,457,454,348","NE,NE,NE,NE,NE,NE,E",Conditional
ENSG00000082781,ITGB5,8,"348,459,452,453,455,454,457,456","NE,E,NE,NE,NE,NE,E,NE",Conditional
ENSG00000082805,ERC1,5,"456,452,348,454,455","NE,NE,NE,NE,NE",Nonessential
ENSG00000082898,XPO1,9,"454,452,457,455,348,459,456,451,453","E,E,E,E,NE,E,E,E,E",Conditional
ENSG00000082929,C4orf6,3,"453,457,348","NE,NE,NE",Nonessential
ENSG00000082996,RNF13,7,"348,457,452,455,454,453,456","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000083067,TRPM3,7,"456,452,457,453,454,348,455","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000083093,PALB2,8,"452,348,454,455,456,457,453,459","E,NE,NE,NE,E,E,E,E",Conditional
ENSG00000083097,DOPEY1,7,"457,348,455,452,454,456,453","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000083099,LYRM2,7,"453,454,348,457,452,455,456","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000083123,BCKDHB,7,"456,452,453,457,348,455,454","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000083168,MYST3,8,"454,457,452,456,453,455,450,348","NE,NE,NE,NE,E,NE,E,NE",Conditional
ENSG00000083223,ZCCHC6,7,"348,456,454,453,452,457,455","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000083290,ULK2,7,"455,452,348,454,453,456,457","NE,NE,E,NE,NE,NE,NE",Conditional
ENSG00000083307,GRHL2,8,"455,454,457,348,452,456,453,451","NE,NE,NE,NE,NE,NE,NE,E",Conditional
ENSG00000083312,TNPO1,8,"348,455,454,457,459,453,452,456","NE,NE,E,NE,E,E,NE,E",Conditional
ENSG00000083444,PLOD1,8,"348,456,455,454,452,459,457,453","NE,NE,NE,NE,NE,E,NE,NE",Conditional
ENSG00000083454,P2RX5,7,"453,456,348,457,454,455,452","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000083457,ITGAE,8,"452,457,453,454,455,348,456,445","NE,NE,NE,NE,NE,NE,NE,E",Conditional
ENSG00000083520,DIS3,9,"451,452,348,453,457,456,454,455,459","E,E,NE,E,E,E,E,E,E",Conditional
ENSG00000083535,PIBF1,7,"457,453,452,348,455,454,456","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000083544,TDRD3,6,"456,452,457,453,454,455","NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000083635,NUFIP1,8,"455,459,456,453,348,452,454,457","NE,E,NE,E,NE,NE,NE,E",Conditional
ENSG00000083642,PDS5B,8,"456,348,457,452,453,459,454,455","NE,NE,NE,NE,NE,E,NE,NE",Conditional
ENSG00000083720,OXCT1,7,"453,452,455,456,457,348,454","NE,NE,NE,NE,NE,E,NE",Conditional
ENSG00000083750,RRAGB,7,"453,454,457,456,455,348,452","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000083782,EPYC,7,"452,456,453,457,454,348,455","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000083799,CYLD,7,"455,457,453,452,456,454,451","NE,NE,E,NE,NE,NE,E",Conditional
ENSG00000083807,SLC27A5,8,"348,452,456,455,457,459,454,453","NE,NE,NE,NE,NE,E,NE,NE",Conditional
ENSG00000083812,ZNF324,8,"453,452,456,459,457,348,455,454","NE,NE,NE,E,NE,NE,NE,NE",Conditional
ENSG00000083814,ZNF671,7,"454,453,455,456,452,348,457","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000083817,ZNF416,7,"457,454,455,453,348,456,452","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000083828,ZNF586,7,"456,452,457,455,453,454,348","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000083838,ZNF446,7,"457,452,348,456,454,453,455","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000083842,ZNF8,1,348,NE,Nonessential
ENSG00000083844,ZNF264,7,"455,348,452,457,453,454,456","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000083845,RPS5,6,"456,455,348,452,454,459","E,E,NE,E,E,E",Conditional
ENSG00000083857,FAT1,7,"348,452,453,454,455,456,457","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000083896,YTHDC1,8,"457,456,454,455,348,459,453,452","E,E,E,E,NE,E,E,E",Conditional
ENSG00000083937,CHMP2B,8,"457,451,348,452,456,453,454,455","NE,E,NE,NE,NE,NE,NE,NE",Conditional
ENSG00000084070,SMAP2,7,"455,457,348,452,454,453,456","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000084072,PPIE,8,"348,455,454,459,456,457,452,453","NE,E,E,E,E,E,E,E",Conditional
ENSG00000084073,ZMPSTE24,7,"457,456,455,348,452,453,454","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000084090,STARD7,9,"453,455,459,451,456,454,452,348,457","NE,NE,E,E,E,NE,NE,NE,E",Conditional
ENSG00000084092,C4orf14,8,"456,453,452,348,459,457,455,454","NE,NE,NE,NE,E,NE,NE,NE",Conditional
ENSG00000084093,REST,9,"348,448,456,453,454,455,452,459,457","NE,E,NE,NE,NE,NE,NE,E,NE",Conditional
ENSG00000084110,HAL,8,"455,454,451,457,456,453,348,452","NE,NE,E,NE,NE,NE,NE,NE",Conditional
ENSG00000084112,SSH1,7,"452,457,456,455,453,454,348","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000084207,GSTP1,7,"348,452,455,454,457,456,453","E,NE,NE,E,NE,NE,NE",Conditional
ENSG00000084234,APLP2,7,"453,452,455,348,456,457,454","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000084444,KIAA1467,3,"348,453,457","NE,NE,NE",Nonessential
ENSG00000084453,SLCO1A2,7,"457,348,454,455,452,453,456","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000084463,WBP11,8,"459,453,454,455,348,457,456,452","E,E,NE,NE,NE,E,E,NE",Conditional
ENSG00000084623,EIF3I,8,"454,455,453,459,456,457,348,452","E,E,E,E,E,E,NE,E",Conditional
ENSG00000084628,NKAIN1,7,"453,348,455,454,452,456,457","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000084636,COL16A1,7,"454,455,348,453,457,456,452","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000084652,TXLNA,8,"452,348,459,457,456,455,454,453","NE,NE,E,NE,NE,NE,NE,NE",Conditional
ENSG00000084674,APOB,7,"454,455,452,456,348,457,453","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000084676,NCOA1,7,"453,456,454,452,455,457,348","E,NE,NE,NE,NE,E,E",Conditional
ENSG00000084693,AGBL5,8,"452,453,451,348,457,456,455,454","NE,NE,E,NE,NE,NE,NE,NE",Conditional
ENSG00000084710,EFR3B,7,"453,348,454,456,457,452,455","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000084731,KIF3C,7,"455,454,457,348,453,452,456","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000084733,RAB10,7,"456,455,452,457,454,453,348","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000084734,GCKR,7,"348,454,455,452,453,456,457","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000084754,HADHA,7,"457,456,348,455,453,454,452","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000084764,MAPRE3,7,"452,457,348,456,454,455,453","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000084774,CAD,9,"453,348,449,452,459,457,455,456,454","E,NE,E,E,E,E,NE,E,E",Conditional
ENSG00000085063,CD59,7,"454,348,453,452,456,457,455","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000085117,CD82,8,"453,455,454,451,348,457,456,452","NE,NE,NE,E,NE,NE,NE,NE",Conditional
ENSG00000085185,BCORL1,7,"452,454,455,453,457,348,456","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000085224,ATRX,8,"456,455,452,454,459,348,453,457","NE,NE,NE,NE,E,E,E,E",Conditional
ENSG00000085231,TAF9,7,"457,452,456,455,454,453,348","E,E,NE,NE,E,E,E",Conditional
ENSG00000085265,FCN1,7,"348,455,457,456,454,453,452","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000085274,MYNN,7,"348,457,452,456,453,455,454","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000085276,MECOM,7,"454,348,456,457,455,453,452","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000085377,PREP,7,"453,457,454,452,456,348,455","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000085382,HACE1,8,"455,456,453,451,452,454,348,457","NE,NE,NE,E,NE,NE,NE,NE",Conditional
ENSG00000085415,SEH1L,9,"456,457,451,459,453,452,348,454,455","E,E,E,E,E,E,NE,NE,E",Conditional
ENSG00000085433,WDR47,7,"454,456,455,457,348,452,453","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000085449,WDFY1,7,"453,455,454,456,452,457,348","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000085465,OVGP1,7,"454,453,455,348,457,456,452","E,NE,NE,NE,NE,NE,NE",Conditional
ENSG00000085491,SLC25A24,7,"452,348,456,453,454,455,457","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000085511,MAP3K4,7,"348,455,452,457,453,454,456","NE,NE,NE,E,NE,NE,NE",Conditional
ENSG00000085514,PILRA,8,"456,348,454,457,459,455,452,453","NE,NE,NE,NE,E,NE,NE,NE",Conditional
ENSG00000085552,IGSF9,7,"453,348,457,456,452,454,455","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000085563,ABCB1,7,"455,456,348,453,457,454,452","NE,NE,E,NE,NE,NE,NE",Conditional
ENSG00000085644,ZNF213,7,"452,456,457,455,454,453,348","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000085662,AKR1B1,7,"455,456,453,452,348,454,457","NE,NE,NE,NE,E,NE,NE",Conditional
ENSG00000085719,CPNE3,5,"456,452,455,454,348","NE,NE,NE,NE,E",Conditional
ENSG00000085721,RRN3,7,"348,452,457,456,453,455,454","NE,E,E,E,E,E,E",Conditional
ENSG00000085733,CTTN,7,"457,348,452,456,453,454,455","NE,E,NE,NE,NE,NE,NE",Conditional
ENSG00000085741,WNT11,7,"455,452,348,457,454,453,456","NE,NE,E,NE,NE,NE,NE",Conditional
ENSG00000085760,MTIF2,8,"456,348,455,452,454,457,459,453","E,NE,NE,E,E,NE,E,NE",Conditional
ENSG00000085788,DDHD2,7,"453,455,456,454,457,348,452","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000085831,TTC39A,7,"452,456,454,455,348,457,453","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000085832,EPS15,7,"454,455,453,457,456,452,348","NE,NE,E,NE,NE,NE,NE",Conditional
ENSG00000085840,ORC1,8,"348,453,454,456,455,452,459,457","E,E,NE,E,E,E,E,E",Conditional
ENSG00000085871,MGST2,7,"456,453,454,455,457,348,452","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000085872,CHERP,8,"452,453,455,348,454,457,456,459","NE,E,E,NE,E,E,E,E",Conditional
ENSG00000085978,ATG16L1,7,"457,455,452,453,454,348,456","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000085982,USP40,5,"456,452,348,455,454","NE,NE,NE,NE,NE",Nonessential
ENSG00000085998,POMGNT1,7,"454,457,455,456,453,348,452","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000085999,RAD54L,8,"452,453,456,454,455,459,457,348","NE,NE,NE,NE,NE,E,NE,E",Conditional
ENSG00000086015,MAST2,7,"348,454,456,452,455,457,453","E,NE,NE,NE,NE,NE,NE",Conditional
ENSG00000086061,DNAJA1,8,"453,452,454,348,456,457,459,455","NE,NE,NE,NE,NE,E,E,NE",Conditional
ENSG00000086062,B4GALT1,7,"455,456,452,454,453,457,348","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000086065,CHMP5,7,"452,454,455,456,348,457,453","NE,E,NE,NE,NE,NE,E",Conditional
ENSG00000086102,NFX1,8,"453,456,454,452,455,459,457,348","NE,NE,NE,NE,NE,E,NE,NE",Conditional
ENSG00000086159,AQP6,7,"452,348,456,453,454,457,455","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000086189,DIMT1L,8,"455,453,452,348,456,454,457,459","E,E,E,NE,E,E,E,E",Conditional
ENSG00000086200,IPO11,8,"459,456,453,455,348,452,457,454","E,NE,E,E,NE,E,E,E",Conditional
ENSG00000086205,FOLH1,7,"348,456,452,455,453,457,454","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000086232,EIF2AK1,7,"455,348,454,452,456,457,453","NE,E,NE,NE,NE,NE,NE",Conditional
ENSG00000086288,TXNDC3,7,"453,455,457,454,348,456,452","NE,NE,NE,NE,E,NE,NE",Conditional
ENSG00000086289,EPDR1,5,"454,452,455,456,348","NE,NE,NE,NE,NE",Nonessential
ENSG00000086300,SNX10,8,"348,451,452,454,453,457,456,455","NE,E,NE,NE,NE,NE,NE,NE",Conditional
ENSG00000086475,SEPHS1,8,"455,453,454,452,348,456,457,459","NE,E,E,NE,NE,NE,NE,E",Conditional
ENSG00000086504,MRPL28,8,"459,457,452,455,348,454,453,456","E,NE,E,E,NE,E,NE,E",Conditional
ENSG00000086506,HBQ1,7,"456,454,455,348,453,457,452","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000086544,ITPKC,7,"348,455,456,452,454,457,453","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000086548,CEACAM6,7,"453,452,455,456,454,457,348","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000086570,FAT2,7,"348,452,453,457,456,455,454","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000086589,RBM22,8,"348,456,459,455,452,457,454,453","NE,E,E,E,NE,E,NE,E",Conditional
