locus,symbols,datasets,datasetIDs,essentiality status,essentiality consensus
ENSG00000004766,CCDC132,3,"453,457,348","NE,NE,NE",Nonessential
ENSG00000004776,HSPB6,5,"456,455,348,454,452","NE,NE,NE,NE,NE",Nonessential
ENSG00000004777,ARHGAP33,7,"455,348,457,456,453,454,452","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000004779,NDUFAB1,8,"459,452,457,456,348,454,455,453","E,E,E,E,NE,E,E,E",Conditional
ENSG00000004799,PDK4,7,"453,455,456,452,457,454,348","NE,NE,NE,NE,NE,NE,E",Conditional
ENSG00000004809,SLC22A16,7,"348,452,456,455,453,454,457","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000004838,ZMYND10,8,"459,457,456,452,348,453,454,455","E,NE,NE,NE,NE,NE,NE,NE",Conditional
ENSG00000004846,ABCB5,8,"454,348,451,456,453,452,457,455","NE,NE,E,NE,NE,NE,NE,NE",Conditional
ENSG00000004848,ARX,7,"452,455,454,453,457,456,348","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000004864,SLC25A13,9,"348,454,455,456,443,447,452,457,453","NE,NE,NE,NE,E,E,NE,NE,NE",Conditional
ENSG00000004866,ST7,8,"453,454,348,451,455,456,452,457","NE,NE,NE,E,NE,NE,NE,NE",Conditional
ENSG00000004897,CDC27,9,"456,348,454,455,449,451,452,453,457","NE,E,NE,E,E,E,NE,E,E",Conditional
ENSG00000004939,SLC4A1,8,"455,456,453,457,459,454,348,452","NE,NE,NE,NE,E,NE,E,NE",Conditional
ENSG00000004948,CALCR,7,"452,456,457,455,454,348,453","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000004961,HCCS,8,"452,453,454,455,456,457,459,348","NE,E,NE,NE,E,NE,E,NE",Conditional
ENSG00000004975,DVL2,7,"348,457,455,456,452,453,454","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000005001,PRSS22,7,"454,452,455,456,453,348,457","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000005007,UPF1,9,"459,455,454,451,457,452,348,456,453","E,E,E,E,E,E,NE,E,E",Conditional
ENSG00000005020,SKAP2,7,"454,453,457,455,452,456,348","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000005022,SLC25A5,7,"348,455,453,454,457,456,452","NE,NE,NE,NE,E,NE,NE",Conditional
ENSG00000005059,CCDC109B,3,"348,453,457","NE,NE,NE",Nonessential
ENSG00000005073,HOXA11,7,"457,456,348,452,455,454,453","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000005075,POLR2J,8,"453,452,455,454,348,457,456,451","NE,E,E,E,NE,NE,E,E",Conditional
ENSG00000005100,DHX33,8,"348,457,452,453,454,455,456,459","NE,E,E,E,E,NE,E,E",Conditional
ENSG00000005102,MEOX1,7,"457,452,348,453,456,454,455","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000005108,THSD7A,7,"457,348,453,454,452,456,455","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000005156,LIG3,8,"455,454,457,453,452,451,348,456","NE,NE,NE,E,E,E,NE,NE",Conditional
ENSG00000005175,RPAP3,8,"452,348,455,454,453,459,456,457","NE,NE,NE,NE,E,E,NE,E",Conditional
ENSG00000005187,ACSM3,7,"457,453,456,455,454,348,452","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000005189,,3,"453,457,348","NE,NE,NE",Nonessential
ENSG00000005194,CIAPIN1,8,"348,453,455,456,452,457,459,454","NE,E,NE,NE,NE,E,E,E",Conditional
ENSG00000005206,,2,"451,348","E,NE",Conditional
ENSG00000005238,KIAA1539,7,"348,452,453,455,454,457,456","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000005243,COPZ2,1,348,NE,Nonessential
ENSG00000005249,PRKAR2B,8,"451,452,456,454,348,455,457,453","E,NE,NE,NE,NE,NE,NE,NE",Conditional
ENSG00000005302,MSL3,7,"453,452,348,454,456,457,455","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000005339,CREBBP,7,"456,457,452,453,459,454,455","NE,E,E,E,E,NE,NE",Conditional
ENSG00000005379,BZRAP1,3,"348,457,453","NE,NE,NE",Nonessential
ENSG00000005381,MPO,8,"453,348,451,454,452,455,457,456","NE,NE,E,NE,NE,NE,NE,NE",Conditional
ENSG00000005421,PON1,7,"452,453,348,454,455,457,456","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000005436,C2orf3,7,"457,348,452,456,453,454,455","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000005448,WDR54,8,"348,456,452,453,455,454,457,459","NE,NE,NE,NE,NE,NE,NE,E",Conditional
ENSG00000005469,CROT,7,"457,455,453,348,456,454,452","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000005471,ABCB4,7,"452,457,456,348,453,454,455","NE,NE,NE,E,NE,NE,NE",Conditional
ENSG00000005483,MLL5,7,"348,452,457,455,453,456,454","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000005486,RHBDD2,8,"453,457,459,348,455,454,452,456","NE,NE,E,NE,NE,NE,NE,NE",Conditional
ENSG00000005513,SOX8,7,"452,457,453,454,348,456,455","NE,NE,NE,NE,E,NE,NE",Conditional
ENSG00000005700,IBTK,8,"455,454,452,451,457,456,348,453","NE,NE,NE,E,NE,NE,NE,NE",Conditional
ENSG00000005801,ZNF195,7,"452,348,455,453,454,457,456","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000005810,MYCBP2,3,"453,457,348","NE,NE,NE",Nonessential
ENSG00000005812,FBXL3,7,"348,452,454,455,457,456,453","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000005844,ITGAL,7,"453,348,456,452,454,455,457","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000005882,PDK2,8,"454,456,453,452,348,455,457,459","NE,NE,NE,NE,E,NE,NE,E",Conditional
ENSG00000005884,ITGA3,7,"456,457,454,453,452,455,348","NE,NE,NE,NE,NE,NE,E",Conditional
ENSG00000005889,ZFX,9,"456,449,451,459,457,453,455,452,454","NE,E,E,E,NE,NE,NE,NE,NE",Conditional
ENSG00000005893,LAMP2,7,"457,456,453,348,452,454,455","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000005955,GGNBP2,3,"453,348,457","E,NE,NE",Conditional
ENSG00000005961,ITGA2B,8,"457,455,459,453,456,454,348,452","NE,NE,E,NE,NE,NE,NE,NE",Conditional
ENSG00000005981,ASB4,7,"453,457,454,348,455,452,456","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000006007,GDE1,7,"456,348,457,452,453,455,454","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000006015,C19orf60,9,"454,452,457,456,459,455,348,451,453","NE,NE,NE,NE,E,NE,NE,E,NE",Conditional
ENSG00000006016,CRLF1,7,"453,456,452,454,348,457,455","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000006025,OSBPL7,7,"455,348,453,456,454,457,452","NE,NE,NE,NE,E,NE,NE",Conditional
ENSG00000006042,TMEM98,7,"348,456,452,455,457,454,453","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000006047,YBX2,8,"453,454,452,456,348,451,457,455","NE,NE,NE,NE,NE,E,NE,NE",Conditional
ENSG00000006059,KRT33A,7,"452,453,455,454,457,456,348","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000006062,MAP3K14,1,348,NE,Nonessential
ENSG00000006071,ABCC8,7,"452,453,348,454,456,455,457","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000006074,CCL18,3,"457,348,453","NE,NE,NE",Nonessential
ENSG00000006075,CCL3,3,"453,348,457","NE,NE,NE",Nonessential
ENSG00000006114,SYNRG,3,"348,453,457","NE,NE,NE",Nonessential
ENSG00000006116,CACNG3,7,"348,453,457,456,452,455,454","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000006118,TMEM132A,7,"455,454,456,457,348,452,453","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000006125,AP2B1,9,"459,457,454,456,453,452,451,348,455","E,NE,NE,NE,NE,NE,E,NE,NE",Conditional
ENSG00000006128,TAC1,7,"456,453,457,454,455,348,452","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000006194,ZNF263,8,"452,455,454,456,457,459,453,348","NE,NE,NE,NE,NE,E,NE,NE",Conditional
ENSG00000006210,CX3CL1,7,"348,452,456,455,457,454,453","E,NE,NE,NE,NE,NE,NE",Conditional
ENSG00000006282,SPATA20,7,"456,452,457,348,454,455,453","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000006283,CACNA1G,7,"454,452,453,457,455,456,348","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000006327,TNFRSF12A,8,"348,455,457,459,453,456,454,452","NE,NE,NE,E,NE,NE,NE,NE",Conditional
ENSG00000006377,DLX6,8,"459,455,452,348,457,453,454,456","E,NE,NE,NE,NE,NE,NE,NE",Conditional
ENSG00000006432,MAP3K9,8,"456,455,448,457,348,452,454,453","NE,NE,E,NE,E,NE,NE,NE",Conditional
ENSG00000006451,RALA,7,"348,455,456,457,454,453,452","E,NE,NE,NE,NE,NE,NE",Conditional
ENSG00000006453,BAIAP2L1,7,"452,456,348,457,453,455,454","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000006459,JHDM1D,3,"453,348,457","NE,NE,NE",Nonessential
ENSG00000006468,ETV1,7,"457,348,454,456,453,452,455","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000006530,AGK,8,"455,453,452,457,456,454,348,459","NE,NE,NE,NE,NE,NE,NE,E",Conditional
ENSG00000006555,TTC22,7,"457,456,452,348,455,454,453","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000006576,PHTF2,7,"456,453,457,454,455,452,348","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000006606,CCL26,8,"348,452,453,454,455,457,456,459","NE,NE,NE,NE,NE,NE,NE,E",Conditional
ENSG00000006607,FARP2,7,"457,456,453,348,452,455,454","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000006611,USH1C,7,"457,348,455,454,453,452,456","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000006625,GGCT,7,"456,455,457,453,452,454,348","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000006634,DBF4,7,"348,457,455,454,456,453,452","E,NE,NE,NE,NE,E,NE",Conditional
ENSG00000006638,TBXA2R,8,"452,454,455,456,348,457,459,453","NE,NE,NE,NE,NE,NE,E,NE",Conditional
ENSG00000006652,IFRD1,8,"348,452,456,457,455,454,459,453","NE,NE,NE,NE,NE,NE,E,NE",Conditional
ENSG00000006659,LGALS14,7,"453,455,452,348,457,454,456","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000006695,COX10,9,"456,452,457,454,455,453,348,450,459","E,E,E,NE,E,E,NE,E,E",Conditional
ENSG00000006704,GTF2IRD1,7,"455,348,456,457,452,454,453","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000006712,PAF1,8,"453,452,459,454,455,457,456,348","E,E,E,NE,E,E,E,NE",Conditional
ENSG00000006715,VPS41,8,"452,455,456,348,454,453,459,457","NE,E,NE,NE,NE,NE,E,NE",Conditional
ENSG00000006740,ARHGAP44,7,"452,453,348,456,455,454,457","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000006744,ELAC2,8,"456,457,452,348,459,453,454,455","E,E,E,NE,E,E,E,E",Conditional
ENSG00000006747,SCIN,7,"454,456,457,348,452,455,453","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000006756,ARSD,7,"348,454,457,456,455,453,452","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000006757,PNPLA4,8,"454,348,452,451,457,453,456,455","NE,NE,NE,E,NE,NE,NE,NE",Conditional
